3 3 0.000000 0.000000 0.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 1 43 47 252 703 730 2943 2945 | | 252 730 2943 
4 1 3.631094 -3.905525 0.500000 0.020719 0.999785 0.000000 0.999983 0.005861 0.000000 0 0 9 736 801 913 3108 3114 | 9 913 | 
9 1 3.633333 -1.800000 0.500000 1.000000 0.000000 0.000000 0.000000 -1.000000 0.000000 0 0 4 104 190 194 278 801 806 905 3100 3114 3153 154 | 4 104 | 
25 1 0.569261 -5.291788 0.500000 -0.181876 -0.983321 0.000000 -0.965656 0.259825 0.000000 0 0 692 741 2904 710 3173 111 | 741 2904 | 
32 1 1.233333 -1.700000 0.500000 0.996347 -0.085401 0.000000 -0.406138 -0.913812 0.000000 0 0 33 194 252 703 730 801 806 905 | 33 806 | 
33 1 0.694639 -2.142267 0.500000 0.716198 0.697897 0.000000 0.000000 -1.000000 0.000000 0 0 32 34 703 730 43 | 34 32 | 
34 1 0.715704 -2.654073 0.500000 0.000000 1.000000 0.000000 0.913812 -0.406139 0.000000 1 0 33 688 703 | 33 688 | 
37 2 1.035015 -3.416317 0.500000 -0.996546 0.083045 0.000000 -0.061785 -0.998089 0.000000 1 0 691 109 | 691 109 | 
43 1 0.416185 -0.435773 0.500000 0.188026 0.982164 0.000000 0.995471 -0.095064 0.000000 0 0 3 703 730 778 86 47 60 905 33 | 47 778 | 
47 1 0.660978 0.857663 0.500000 0.992990 -0.118195 0.000000 -0.155962 -0.987763 0.000000 0 0 3 86 60 651 2943 43 925 136 | 43 925 | 
58 2 -0.304389 1.940435 0.500000 -0.076297 -0.997085 0.000000 0.999334 -0.036484 0.000000 1 0 59 651 | 59 651 | 
59 2 0.611830 1.904968 0.500000 -0.999142 0.041413 0.000000 0.074061 -0.997254 0.000000 1 0 58 60 | 58 60 | 
60 1 0.675173 1.175116 0.500000 -0.074061 0.997254 0.000000 0.960175 -0.279399 0.000000 0 0 59 47 651 43 61 2943 | 59 61 | 
61 1 1.803663 0.874176 0.500000 -0.966049 0.258359 0.000000 -0.006084 0.999981 0.000000 0 0 2949 60 | 60 | 
68 1 1.005061 2.322178 0.500000 0.000000 -1.000000 0.000000 -0.999946 0.010428 0.000000 1 0 2926 2935 2997 3000 3033 | 2926 | 
82 2 1.435202 1.754335 0.500000 0.133609 0.991034 0.000000 -0.996546 0.083045 0.000000 1 0 2926 3004 | 2926 3004 | 
83 1 -0.977175 0.623397 0.500000 1.000000 0.000000 0.000000 -0.727714 -0.685881 0.000000 1 0 86 222 636 650 651 2920 | 86 222 | 
86 1 -0.375895 0.608250 0.500000 0.195339 -0.980736 0.000000 -0.995641 0.093271 0.000000 0 0 83 47 650 651 636 2945 43 2920 | 83 2945 | 
96 1 6.323860 -2.013278 0.500000 0.992761 0.120109 0.000000 -0.012893 -0.999917 0.000000 0 0 104 278 913 704 663 984 3104 983 155 | 704 983 | 
104 1 5.711060 -1.848269 0.500000 -0.000350 -1.000000 0.000000 -0.999798 0.020083 0.000000 0 0 9 190 96 801 905 913 3104 984 703 | 9 913 | 
109 1 0.661724 -3.379122 0.500000 0.000000 1.000000 0.000000 0.995862 -0.090877 0.000000 1 0 37 688 111 | 37 688 | 
111 1 0.638422 -4.070337 0.500000 0.964764 0.263118 0.000000 0.000000 -1.000000 0.000000 0 0 691 692 729 109 25 | 691 692 | 
116 1 -2.228737 -4.257201 0.500000 0.998639 0.052154 0.000000 0.081374 -0.996684 0.000000 0 0 310 657 3176 | 3176 | 
136 1 -0.422320 -0.912128 0.500000 -1.000000 0.000000 0.000000 0.151183 0.988506 0.000000 0 0 200 252 356 730 778 47 2945 | 200 2945 | 
152 1 8.635547 -2.824923 0.500000 0.000000 1.000000 0.000000 0.999507 -0.031407 0.000000 0 0 882 952 980 983 1084 1086 1093 678 | 882 1086 | 
154 1 9.717924 -1.793061 0.500000 0.000000 -1.000000 0.000000 -1.000000 0.000000 0.000000 0 0 155 277 662 1087 189 663 2253 928 2872 778 9 | 155 1087 | 
155 1 8.920514 -1.783206 0.500000 0.999829 -0.018496 0.000000 -0.110432 -0.993884 0.000000 0 0 154 663 882 984 662 983 768 880 2872 96 | 154 882 | 
174 2 -3.746001 -2.010914 0.500000 -0.044456 -0.999011 0.000000 0.997938 -0.064191 0.000000 1 0 652 | 652 | 
189 1 4.825147 -0.450502 0.500000 0.008619 0.999963 0.000000 0.999866 -0.016388 0.000000 0 0 190 194 905 278 154 984 866 3100 857 | 190 866 | 
190 1 5.741510 -0.477072 0.500000 -1.000000 0.000000 0.000000 0.094790 0.995497 0.000000 0 0 9 104 189 277 801 871 905 252 778 | 871 189 | 
